Surah,Verse,ahmedali,ahmedraza,arberry,daryabadi,hilali,itani,maududi,mubarakpuri,pickthall,qarai,qaribullah,sahih,sarwar,shakir,wahiduddin,yusufali
2,4,"Who believe in what has been revealed to you and what was revealed to those before you, and are certain of the Hereafter.","And who believe in this (Qur’an) which has been sent down upon you, O beloved Prophet, (Mohammed – peace and blessings be upon him) and what was sent down before you; and are certain of the Hereafter.","who believe in what has been sent down to thee and what has been sent down before thee, and have faith in the Hereafter;",And who believe in that which hath been sent down unto thee and that which hath been sent down before thee and of the Hereafter they are convinced.,"And who believe in (the Quran and the Sunnah) which has been sent down (revealed) to you (Muhammad Peace be upon him) and in [the Taurat (Torah) and the Injeel (Gospel), etc.] which were sent down before you and they believe with certainty in the Hereafter. (Resurrection, recompense of their good and bad deeds, Paradise and Hell, etc.).","And those who believe in what was revealed to you, and in what was revealed before you, and are certain of the Hereafter.","who believe in the Book We have sent down to you (i.e. the Qur'an) and in the Books sent down before you, and firmly believe in the Hereafter.","And who have faith in what is revealed to you and in what was revealed before you, and in the Hereafter they are certain.","And who believe in that which is revealed unto thee (Muhammad) and that which was revealed before thee, and are certain of the Hereafter.","and who believe in what has been sent down to you and what was sent down before you, and are certain of the Hereafter.",Who believe in that which has been sent down to you (Prophet Muhammad) and what has been sent down before you (to Prophets Jesus and Moses) and firmly believe in the Everlasting Life.,"And who believe in what has been revealed to you, [O Muhammad], and what was revealed before you, and of the Hereafter they are certain [in faith].",who have faith in what has been revealed to you and others before you and have strong faith in the life hereafter.,And who believe in that which has been revealed to you and that which was revealed before you and they are sure of the hereafter.,"those who believe in the revelation sent down to you and in what was sent before you, and firmly believe in the life to come --","And who believe in the Revelation sent to thee, and sent before thy time, and (in their hearts) have the assurance of the Hereafter."
2,5,They have found the guidance of their Lord and will be successful.,It is they who are on guidance from their Lord; and they are the successful.,"those are upon guidance from their Lord, those are the ones who prosper.","These are on guidance from their Lord, and these they are the blissful ones.","They are on (true) guidance from their Lord, and they are the successful.",These are upon guidance from their Lord. These are the successful.,Such people are on the right way from their Lord and such are truly successful.,"They are on guidance from their Lord, and they are the successful.",These depend on guidance from their Lord. These are the successful.,Those follow their Lord’s guidance and it is they who are the felicitous.,These are guided by their Lord; these surely are the prosperous.,"Those are upon [right] guidance from their Lord, and it is those who are the successful.",It is the pious who follow the guidance of their Lord and gain lasting happiness.,These are on a right course from their Lord and these it is that shall be successful.,they are the people who are rightly following their Lord and it is they who shall be successful.,"They are on (true) guidance, from their Lord, and it is these who will prosper."
2,6,"As for those who deny, it is all the same if you warn them or not, they will not believe.","As for those whose fate is disbelief, whether you warn them or do not warn them – it is all one for them; they will not believe. (Because their hearts are sealed – see next verse).","As for the unbelievers, alike it is to them whether thou hast warned them or hast not warned them, they do not believe.","Verily those who have disbelieved, it is equal to them whether thou warnest them or warnest them not; they will not believe.","Verily, those who disbelieve, it is the same to them whether you (O Muhammad Peace be upon him) warn them or do not warn them, they will not believe.","As for those who disbelieve—it is the same for them, whether you have warned them, or have not warned them—they do not believe.","As for those who have rejected (these things), it is all the same to them whether you warn them or do not warn them: they are not going to believe.","Verily, those who disbelieve, it is the same to them whether you warn them or do not warn them, they will not believe.","As for the Disbelievers, Whether thou warn them or thou warn them not it is all one for them; they believe not.","As for the faithless, it is the same to them whether you warn them or do not warn them, they will not have faith.","Those who disbelieve, whether you forewarn them or not, they will not believe.","Indeed, those who disbelieve - it is all the same for them whether you warn them or do not warn them - they will not believe.",Those who deny your message will not believe whether you warn them or not,"Surely those who disbelieve, it being alike to them whether you warn them, or do not warn them, will not believe.","As for those who are bent on denying the truth, it makes no difference to them whether you warn them or not, they will not believe.","As to those who reject Faith, it is the same to them whether thou warn them or do not warn them; they will not believe."
2,7,"God has sealed their hearts and ears, and veiled their eyes. For them is great deprivation.","Allah has sealed their hearts and their ears, and on their eyes is a covering; and for them is a terrible punishment.","God has set a seal on their hearts and on their hearing, and on their eyes is a covering, and there awaits them a mighty chastisement.","Allah hath set a seal upon their hearts and upon their hearing, and over their sights is a covering; and unto them shall be a torment mighty.","Allah has set a seal on their hearts and on their hearings, (i.e. they are closed from accepting Allah's Guidance), and on their eyes there is a covering. Theirs will be a great torment.","God has set a seal on their hearts and on their hearing, and over their vision is a veil. They will have a severe torment.","Allah has sealed up their hearts and ears and a covering has fallen over their eyes, and they have incurred the severest punishment.","Allah has set a seal on their hearts and on their hearing, and on their eyes there is a covering. Theirs will be a great torment.","Allah hath sealed their hearing and their hearts, and on their eyes there is a covering. Theirs will be an awful doom.","Allah has set a seal on their hearts and their hearing, and there is a blindfold on their sight, and there is a great punishment for them.",Allah has set a seal upon their hearts and ears; their sight is dimmed and for them is a great punishment.,"Allah has set a seal upon their hearts and upon their hearing, and over their vision is a veil. And for them is a great punishment.",God has sealed their hearts and hearing and their vision is veiled; a great punishment awaits them.,"Allah has set a seal upon their hearts and upon their hearing and there is a covering over their eyes, and there is a great punishment for them.","God has sealed their hearts and their ears, and over their eyes there is a covering. They will have a terrible punishment.","Allah hath set a seal on their hearts and on their hearing, and on their eyes is a veil; great is the penalty they (incur)."
2,8,"And there are some who, though they say: ""We believe in God and the Last Day,"" (in reality) do not believe.","And among the people are some* that say, “We believe in Allah and the Last Day**” whereas they are not believers! (* The hypocrites ** the Day of Resurrection)","And some men there are who say, 'We believe in God and the Last Day'; but they are not believers.",And of mankind are some who say: we believe in Allah and in the Last Day: whereas they are not believers.,"And of mankind, there are some (hypocrites) who say: ""We believe in Allah and the Last Day"" while in fact they believe not.","Among the people are those who say, “We believe in God and in the Last Day,” but they are not believers.","Then there are some who say, ""We believe in Allah and the Last Day"", whereas they do not believe at all.","And of mankind, there are some who say: ""We believe in Allah and the Last Day"" while in fact they do not believe.","And of mankind are some who say: We believe in Allah and the Last Day, when they believe not.","Among the people are those who say, ‘We have faith in Allah and the Last Day,’ but they have no faith.","There are some people who say: 'We believe in Allah and the Last Day,'yet they are not believers.","And of the people are some who say, ""We believe in Allah and the Last Day,"" but they are not believers.","Some people say, ""We believe in God and the Day of Judgment,"" but they are not true believers.",And there are some people who say: We believe in Allah and the last day; and they are not at all believers.,"There are some who say, ""We believe in God and the Last Day,"" yet they are not believers.","Of the people there are some who say: ""We believe in Allah and the Last Day;"" but they do not (really) believe."
2,9,"They (try to) deceive God and those who believe, yet deceive none but themselves although they do not know.",They wish to deceive Allah and the believers; and in fact they deceive none except themselves and they do not have any understanding.,"They would trick God and the believers, and only themselves they deceive, and they are not aware.","They would deceive Allah and those who believe, whereas they deceive not save themselves, and they perceive not.","They (think to) deceive Allah and those who believe, while they only deceive themselves, and perceive (it) not!","They seek to deceive God and those who believe, but they deceive none but themselves, though they are not aware.","They thus try to deceive Allah and the Believers, but they succeed in deceiving none except themselves and they realize it not.","They try to deceive Allah and those who believe, while they only deceive themselves, and perceive (it) not!","They think to beguile Allah and those who believe, and they beguile none save themselves; but they perceive not.","They seek to deceive Allah and those who have faith, yet they deceive no one but themselves, but they are not aware.","They seek to deceive Allah and those who believe, but they deceive none except themselves, though they do not sense it.","They [think to] deceive Allah and those who believe, but they deceive not except themselves and perceive [it] not.","They deceive God and the believers. However, they have deceived no one but themselves, a fact of which they are not aware.","They desire to deceive Allah and those who believe, and they deceive only themselves and they do not perceive.","They seek to deceive God and the believers, but they only deceive themselves, though they do not realize it.","Fain would they deceive Allah and those who believe, but they only deceive themselves, and realise (it) not!"
2,10,"Sick are their hearts, and God adds to their malady. For them is suffering for they lie.","In their hearts is a disease, so Allah has increased their disease; and for them is a painful punishment, because of their lies.","In their hearts is a sickness, and God has increased their sickness, and there awaits them a painful chastisement for that they have cried lies.","In their hearts is a disease, so Allah hath increased unto them that disease; and unto them shall be a torment afflictive, for they have been lying.",In their hearts is a disease (of doubt and hypocrisy) and Allah has increased their disease. A painful torment is theirs because they used to tell lies.,"In their hearts is sickness, and God has increased their sickness. They will have a painful punishment because of their denial.",In their hearts is a disease which Allah has increased all the more and a painful doom is in store for them for the lie they utter.,In their hearts is a disease and Allah has increased their disease. A painful torment is theirs because they used to tell lies.,"In their hearts is a disease, and Allah increaseth their disease. A painful doom is theirs because they lie.","There is a sickness in their hearts; then Allah increased their sickness, and there is a painful punishment for them because of the lies they used to tell.",There is a sickness in their hearts which Allah has increased. For them there is a painful punishment because they lie.,"In their hearts is disease, so Allah has increased their disease; and for them is a painful punishment because they [habitually] used to lie.","A sickness exists in their hearts to which God adds more sickness. Besides this, they will suffer a painful punishment as a result of the lie which they speak.","There is a disease in their hearts, so Allah added to their disease and they shall have a painful chastisement because they lied.","In their hearts is a disease, which God has increased. They will have a painful punishment, because they have been lying.","In their hearts is a disease; and Allah has increased their disease: And grievous is the penalty they (incur), because they are false (to themselves)."
2,11,"When asked to desist from spreading corruption in the land they say: ""Why, we are reformers.""","And when it is said to them, “Do not cause turmoil in the earth”, they say, “We are only peacemakers!”","When it is said to them, 'Do not corruption in the land', they say, 'We are only ones that put things right.'","And when it said unto them: act not corruptly on the earth, they say: we are but reconcilers.","And when it is said to them: ""Make not mischief on the earth,"" they say: ""We are only peacemakers.""","And when it is said to them, “Do not make trouble on earth,” they say, “We are only reformers.”","Whenever it is said to them, ""Spread not disorder on the earth"", their reply is, ""We only seek to put things aright"".","And when it is said to them: ""Do not make mischief on the earth,"" they say: ""We are only peacemakers.""","And when it is said unto them: Make not mischief in the earth, they say: We are peacemakers only.","When they are told, ‘Do not cause corruption on the earth,’ they say, ‘We are only reformers!’","When it is said to them, 'Do not corrupt in the land,' they reply, 'We are only reformers.'","And when it is said to them, ""Do not cause corruption on the earth,"" they say, ""We are but reformers.""","When they are told not to commit corruption in the land, they reply, ""We are only reformers"".","And when it is said to them, Do not make mischief in the land, they say: We are but peace-makers.","When they are told, ""Do not cause corruption in the land,"" they say, ""We are only promoters of peace,""","When it is said to them: ""Make not mischief on the earth,"" they say: ""Why, we only Want to make peace!"""
2,12,"Yet they are surely mischief-mongers, even though they do not know.","Pay heed! It is they who are mischievous, but they do not have sense.","Truly, they are the workers of corruption but they are not aware.","Lo! verily it is they who are the corrupters, and yet they perceive not.","Verily! They are the ones who make mischief, but they perceive not.","In fact, they are the troublemakers, but they are not aware.",Beware! they do spread disorder but they realize it not.,"Verily, they are the ones who make mischief, but they perceive not.",Are not they indeed the mischief-makers? But they perceive not.,"Behold! They are themselves the agents of corruption, but they are not aware.","But it is they who are the evildoers, though they do not sense it.","Unquestionably, it is they who are the corrupters, but they perceive [it] not.","They, certainly, are corrupt but do not realize it.","Now surely they themselves are the mischief makers, but they do not perceive.","but it is they who are really causing corruption, though they do not realize it.","Of a surety, they are the ones who make mischief, but they realise (it) not."
2,13,"When asked to believe as others do, they say: ""Should we believe like fools?"" And yet they are the fools, even though they do not know.","And when it is said to them, “Believe as the others believe”, they say, “Shall we believe as the foolish believe?” It is they who are the fools, but they do not know.","When it is said to them, 'Believe as the people believe', they say, 'Shall we believe, as fools believe?' Truly, they are the foolish ones, but they do not know.","And when it said unto them: believe even as mankind have believed, they say: shall we believe even as the fools have believed? Lo! verily it is they who are the fools; and yet they know not.","And when it is said to them (hypocrites): ""Believe as the people (followers of Muhammad Peace be upon him, Al-Ansar and Al-Muhajirun) have believed,"" they say: ""Shall we believe as the fools have believed?"" Verily, they are the fools, but they know not.","And when it is said to them, “Believe as the people have believed,” they say, “Shall we believe as the fools have believed?” In fact, it is they who are the fools, but they do not know.","And when it is said to them, ""Believe sincerely as the other people have believed"", they reply, ""Should we believe as fools have believed?"" Beware! they themselves are the fools, but they know it not.","And when it is said to them: Believe as the people believe,"" They say: ""Shall we believe as the fools have believed"" Verily, they are the fools, but they do not know.","And when it is said unto them: believe as the people believe, they say: shall we believe as the foolish believe? are not they indeed the foolish? But they know not.","And when they are told, ‘Believe like the people who have believed,’ they say, ‘Shall we believe like the fools who have believed?’ Behold! They are themselves the fools, but they do not know.","When it is said to them: 'Believe as (other) people believe,' they reply, 'Are we to believe as fools believe?' It is they who are the fools, if only they knew!","And when it is said to them, ""Believe as the people have believed,"" they say, ""Should we believe as the foolish have believed?"" Unquestionably, it is they who are the foolish, but they know [it] not.","When they are told to believe as everyone else does, they say, ""Should we believe as fools do?"" In fact, they themselves are fools, but they do not know it.","And when it is said to them: Believe as the people believe, they say: Shall we believe as the fools believe? Now surely they themselves are the fools, but they do not know.","And when they are told, ""Believe as other people have believed,"" they say, ""Are we to believe just as fools believe?"" Surely they are the fools, even though they do not realize it.","When it is said to them: ""Believe as the others believe:"" They say: ""Shall we believe as the fools believe?"" Nay, of a surety they are the fools, but they do not know."
2,14,"When they meet the faithful they say: ""We believe;"" but when alone with the devils (their fellows), they say: ""We are really with you; we were joking.""","And when they meet with the believers, they say, “We believe”; and when they are alone with their devils, they say, “We are undoubtedly with you, we were just mocking!”","When they meet those who believe, they say, 'We believe'; but when they go privily to their Satans, they say, 'We are with you; we were only mocking.'","And when they meet those who have believed, they say: We believe. And when they are alone with their Satans, they say: verily we are with you, we were but mocking.","And when they meet those who believe, they say: ""We believe,"" but when they are alone with their Shayatin (devils - polytheists, hypocrites, etc.), they say: ""Truly, we are with you; verily, we were but mocking.""","And when they come across those who believe, they say, “We believe”; but when they are alone with their devils, they say, “We are with you; we were only ridiculing.”","When they meet those who believe, they say, ""We, too, are believers"", but when they privily meet their evil geniuses, they say, ""Indeed we are with you: we are only mocking at these people"".","And when they meet those who believe, they say: ""We believe,"" but when they are alone with their Shayatin (devils), they say: ""Truly, we are with you; verily, we were but mocking.""","And when they fall in with those who believe, they say: We believe; but when they go apart to their devils they declare: Lo! we are with you; verily we did but mock.","When they meet the faithful, they say, ‘We believe,’ but when they are alone with their devils, they say, ‘We are with you; we were only deriding [them].’","When they meet those who believe, they say, 'We, too believe.' But when they are alone with their devils, they say to them: 'We follow none but you, we were only mocking","And when they meet those who believe, they say, ""We believe""; but when they are alone with their evil ones, they say, ""Indeed, we are with you; we were only mockers.""","To the believers they declare belief and, in secret to their own devils, they say, ""We were only mocking"".","And when they meet those who believe, they say: We believe; and when they are alone with their Shaitans, they say: Surely we are with you, we were only mocking.","When they meet those who believe, they say, ""We believe."" But when they are alone with their evil leaders, they say, ""We are really with you; we were only mocking.""","When they meet those who believe, they say: ""We believe;"" but when they are alone with their evil ones, they say: ""We are really with you: We (were) only jesting."""
2,15,But God will turn the joke against them and allow them to sink deeper into evil and wander perplexed in their wickedness.,"Allah (befitting His Majesty) mocks them, leaving them to wander blindly in their rebellion.","God shall mock them, and shall lead them on blindly wandering in their insolence.","Allah mocketh back at them, and letteth them in their exorbitance wander bewildered.",Allah mocks at them and gives them increase in their wrong-doings to wander blindly.,"It is God who ridicules them, and leaves them bewildered in their transgression.","(Little do they realize that) Allah is mocking at them. He gives them rope enough, and they wander on and on blindly in their mischief and rebellion.",Allah mocks at them and leaves them increasing in their deviation to wander blindly.,"Allah (Himself) doth mock them, leaving them to wander blindly on in their contumacy.","It is Allah who derides them, and leaves them bewildered in their rebellion.","Allah will mock at them and prolong them in sin, blundering blindly.",[But] Allah mocks them and prolongs them in their transgression [while] they wander blindly.,God mocks them and gives them time to continue blindly in their transgressions.,"Allah shall pay them back their mockery, and He leaves them alone in their inordinacy, blindly wandering on.","God will requite them for their mockery, and draw them on, for a while, to wander blindly in their insolence.","Allah will throw back their mockery on them, and give them rope in their trespasses; so they will wander like blind ones (To and fro)."
2,16,"They are indeed those who bartered away good guidance for error and gained nothing from the deal, nor found the right way.","These are the people who purchased error in exchange of guidance – so their bargain did not profit them, and they did not know how to trade.","Those are they that have bought error at the price of guidance, and their commerce has not profited them, and they are not right-guided.","These are they who purchased error for guidance, but their traffic profited not, nor have they ever become guided.","These are they who have purchased error for guidance, so their commerce was profitless. And they were not guided.","Those are they who have bartered error for guidance; but their trade does not profit them, and they are not guided.","These are the people who have bartered away Guidance for error, but this is a profitless bargain that they have made, and they are not at all on the right way.","These are they who have purchased error with guidance, so their commerce was profitless. And they were not guided.","These are they who purchase error at the price of guidance, so their commerce doth not prosper, neither are they guided.","They are the ones who bought error for guidance, so their trade did not profit them, nor were they guided.","Such are those who barter away guidance for error, their trade did not profit (them), nor are they guided.","Those are the ones who have purchased error [in exchange] for guidance, so their transaction has brought no profit, nor were they guided.","They have traded guidance for error, but their bargain has had no profit and they have missed the true guidance.","These are they who buy error for the right direction, so their bargain shall bring no gain, nor are they the followers of the right direction.","Such are those who have taken misguidance in exchange for guidance; but their bargain does not profit them, nor have they found true guidance.","These are they who have bartered Guidance for error: But their traffic is profitless, and they have lost true direction,"
2,17,"They are like a man who kindles a fire, and when its glow has illumined the air God takes away their light leaving them in the dark where they will not be able to see.","Their example is like that of one who kindled a fire; and when it lit up all that was around it, Allah took away their light and left them in darkness, unable to see anything.","The likeness of them is as the likeness of a man who kindled a fire, and when it lit all about him God took away their light, and left them in darkness unseeing","Their likeness is as the likeness of him who kindleth a fire, then when it hath lit up that which is around him, Allah taketh away their light and leaveth them in darknesses where they see not","Their likeness is as the likeness of one who kindled a fire; then, when it lighted all around him, Allah took away their light and left them in darkness. (So) they could not see.","Their likeness is that of a person who kindled a fire; when it illuminated all around him, God took away their light, and left them in darkness, unable to see.","Their condition may be described in a parable: a man kindled a fire and when it illuminated all around him, Allah took away the light from their eyes and left them in utter darkness, where they could not see anything.","Their likeness is as the likeness of one who kindled a fire; then, when it illuminated all around him, Allah removed their light and left them in darkness. (So) they could not see.","Their likeness is as the likeness of one who kindleth fire, and when it sheddeth its light around him Allah taketh away their light and leaveth them in darkness, where they cannot see,","Their parable is that of one who lighted a torch, and when it had lit up all around him, Allah took away their light, and left them sightless in a manifold darkness.","Their example is like one who kindled a fire, and when it lit all around him, Allah took away their light and left them in darkness. They could not see.","Their example is that of one who kindled a fire, but when it illuminated what was around him, Allah took away their light and left them in darkness [so] they could not see.",(Their case) is like that of one who kindles a fire and when it grows bright God takes away its light leaving him in darkness (wherein) he cannot see (anything).,"Their parable is like the parable of one who kindled a fire, but when it had illumined all around him, Allah took away their light, and left them in utter darkness-- they do not see.","They are like those who kindled a fire, and when it lighted up all around them, God took away their sight and left them in utter darkness, unable to see --","Their similitude is that of a man who kindled a fire; when it lighted all around him, Allah took away their light and left them in utter darkness. So they could not see."
2,18,"They are deaf, dumb and blind, and shall never return;","Deaf, dumb and blind; and they are not to return.","deaf, dumb, blind -- so they shall not return;","Deaf, dumb, blind; wherefore they will not return.","They are deaf, dumb, and blind, so they return not (to the Right Path).","Deaf, dumb, blind. They will not return.",They are deaf; they are dumb; they are blind so they will not return (to the right way).,"They are deaf, dumb, and blind, so they return not (to the right path).","Deaf, dumb and blind; and they return not.","Deaf, dumb, and blind, they will not come back.","Deaf, dumb, and blind, they shall never return.","Deaf, dumb and blind - so they will not return [to the right path].","They are deaf, blind, and dumb and cannot regain their senses.","Deaf, dumb (and) blind, so they will not turn back.","deaf, dumb, and blind: they will never return [to the right path].","Deaf, dumb, and blind, they will not return (to the path)."
